"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.88",1,0.184,0.184,2,2,1,1,0,0,0,0,0,0,1,0.754,0.754,2,2,1,1,0,0,0,0,0,0
"result.89",1,0.495,0.495,2,2,1,1,0,0,0,0,0,0,1,0.348,0.348,2,2,1,1,0,0,0,0,0,0
"result.90",1,0.634,0.634,2,2,1,1,0,0,0,0,0,0,1,0.555,0.555,2,2,1,1,0,0,0,0,0,0
"result.91",0,0.051,0.17,2,2,1,1,0,1,0,0,0,1,0,0.17,0.448,2,2,1,1,0,1,0,0,0,0
"result.92",1,0.661,0.661,2,2,1,1,0,0,0,0,0,0,0,0.083,0.723,2,2,1,2,0,0,0,0,0,0
"result.93",1,0.345,0.345,2,2,1,1,0,0,0,0,0,0,1,0.597,0.597,2,2,1,1,0,0,0,0,0,0
"result.94",1,0.664,0.664,2,2,1,1,0,0,0,0,0,0,1,0.764,0.764,2,2,1,1,0,0,0,0,0,0
"result.95",1,0.68,0.68,2,2,1,1,0,0,0,0,0,0,1,0.547,0.547,2,2,1,1,0,0,0,0,0,0
"result.96",0,0.11,0.333,2,2,1,1,0,0,0,1,0,0,1,0.54,0.54,2,2,1,1,0,0,0,0,0,0
"result.97",1,0.569,0.569,2,2,1,1,0,0,0,0,0,0,1,0.797,0.797,2,2,1,1,0,0,0,0,0,0
"result.98",0,0.278,0.371,2,2,1,2,0,0,0,0,0,0,1,0.419,0.419,2,2,1,1,0,0,0,0,0,0
"result.99",1,0.337,0.337,2,2,1,1,0,0,0,0,0,0,1,0.756,0.756,2,2,1,1,0,0,0,0,0,0
"result.100",1,0.234,0.234,2,2,1,1,0,0,0,0,0,0,1,0.548,0.548,2,2,1,1,0,0,0,0,0,0
