"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.833,0.833,2,2,1,1,0,0,0,0,0,0,1,0.654,0.654,2,2,1,1,0,0,0,0,0,0
"result.2",1,0.684,0.684,2,2,1,1,0,0,0,0,0,0,1,0.741,0.741,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.826,0.826,2,2,1,1,0,0,0,0,0,0,0,0,0.7,2,1,1,1,0,0,0,0,0,0
"result.4",1,0.689,0.689,2,2,1,1,0,0,0,0,0,0,1,0.806,0.806,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.573,0.573,2,2,1,1,0,0,0,0,0,0,1,0.776,0.776,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.691,0.691,2,2,1,1,0,0,0,0,0,0,1,0.462,0.462,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.767,0.767,2,2,1,1,0,0,0,0,0,0,1,0.434,0.434,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.717,0.717,2,2,1,1,0,0,0,0,0,0,1,0.717,0.717,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.84,0.84,2,2,1,1,0,0,0,0,0,0,1,0.772,0.772,2,2,1,1,0,0,0,0,0,0
"result.10",1,0.836,0.836,2,2,1,1,0,0,0,0,0,0,1,0.758,0.758,2,2,1,1,0,0,0,0,0,0
"result.11",1,0.734,0.734,2,2,1,1,0,0,0,0,0,0,1,0.82,0.82,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.812,0.812,2,2,1,1,0,0,0,0,0,0,1,0.584,0.584,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.849,0.849,2,2,1,1,0,0,0,0,0,0,0,0.001,0.592,1,2,1,1,0,0,0,0,0,0
"result.14",1,0.788,0.788,2,2,1,1,0,0,0,0,0,0,1,0.671,0.671,2,2,1,1,0,0,0,0,0,0
"result.15",0,0.329,0.417,2,2,1,1,0,0,0,0,1,0,1,0.787,0.787,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.812,0.812,2,2,1,1,0,0,0,0,0,0,1,0.682,0.682,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.83,0.83,2,2,1,1,0,0,0,0,0,0,1,0.612,0.612,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.682,0.682,2,2,1,1,0,0,0,0,0,0,1,0.663,0.663,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.65,0.65,2,2,1,1,0,0,0,0,0,0,1,0.776,0.776,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.777,0.777,2,2,1,1,0,0,0,0,0,0,1,0.657,0.657,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.769,0.769,2,2,1,1,0,0,0,0,0,0,1,0.669,0.669,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.824,0.824,2,2,1,1,0,0,0,0,0,0,1,0.716,0.716,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.724,0.724,2,2,1,1,0,0,0,0,0,0,1,0.773,0.773,2,2,1,1,0,0,0,0,0,0
"result.24",1,0.78,0.78,2,2,1,1,0,0,0,0,0,0,1,0.771,0.771,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.83,0.83,2,2,1,1,0,0,0,0,0,0,1,0.78,0.78,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.807,0.807,2,2,1,1,0,0,0,0,0,0,1,0.817,0.817,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.832,0.832,2,2,1,1,0,0,0,0,0,0,1,0.807,0.807,2,2,1,1,0,0,0,0,0,0
