"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.563,0.563,2,2,1,1,0,0,0,0,0,0,0,0.098,0.507,2,2,1,1,0,1,0,0,0,0
"result.2",1,0.683,0.683,2,2,1,1,0,0,0,0,0,0,0,0.23,0.452,2,2,1,1,0,0,1,0,0,0
"result.3",0,0.021,0.24,2,2,1,1,0,1,0,0,2,0,1,0.472,0.472,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.252,0.252,2,2,1,1,0,0,0,0,0,0,1,0.45,0.45,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.638,0.638,2,2,1,1,0,0,0,0,0,0,1,0.723,0.723,2,2,1,1,0,0,0,0,0,0
"result.6",0,0.088,0.534,2,2,2,1,0,0,0,0,0,0,1,0.708,0.708,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.38,0.38,2,2,1,1,0,0,0,0,0,0,1,0.667,0.667,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.514,0.514,2,2,1,1,0,0,0,0,0,0,1,0.726,0.726,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.254,0.254,2,2,1,1,0,0,0,0,0,0,1,0.714,0.714,2,2,1,1,0,0,0,0,0,0
"result.10",1,0.535,0.535,2,2,1,1,0,0,0,0,0,0,1,0.584,0.584,2,2,1,1,0,0,0,0,0,0
"result.11",0,0.03,0.382,2,2,2,1,0,0,0,0,0,0,1,0.574,0.574,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.357,0.357,2,2,1,1,0,0,0,0,0,0,1,0.553,0.553,2,2,1,1,0,0,0,0,0,0
"result.13",0,0.003,0.322,2,2,1,1,1,0,0,0,0,0,1,0.478,0.478,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.539,0.539,2,2,1,1,0,0,0,0,0,0,1,0.749,0.749,2,2,1,1,0,0,0,0,0,0
"result.15",1,0.451,0.451,2,2,1,1,0,0,0,0,0,0,1,0.625,0.625,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.637,0.637,2,2,1,1,0,0,0,0,0,0,1,0.281,0.281,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.503,0.503,2,2,1,1,0,0,0,0,0,0,1,0.648,0.648,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.428,0.428,2,2,1,1,0,0,0,0,0,0,0,0.019,0.711,2,2,1,1,0,0,2,0,0,0
"result.19",1,0.518,0.518,2,2,1,1,0,0,0,0,0,0,0,0.152,0.648,2,2,1,2,0,0,0,0,0,0
"result.20",1,0.607,0.607,2,2,1,1,0,0,0,0,0,0,1,0.489,0.489,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.364,0.364,2,2,1,1,0,0,0,0,0,0,1,0.694,0.694,2,2,1,1,0,0,0,0,0,0
"result.22",0,0.208,0.347,2,2,1,1,0,0,1,0,0,0,1,0.647,0.647,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.53,0.53,2,2,1,1,0,0,0,0,0,0,1,0.719,0.719,2,2,1,1,0,0,0,0,0,0
"result.24",1,0.494,0.494,2,2,1,1,0,0,0,0,0,0,1,0.692,0.692,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.638,0.638,2,2,1,1,0,0,0,0,0,0,1,0.768,0.768,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.356,0.356,2,2,1,1,0,0,0,0,0,0,1,0.476,0.476,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.31,0.31,2,2,1,1,0,0,0,0,0,0,1,0.653,0.653,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.301,0.301,2,2,1,1,0,0,0,0,0,0,1,0.777,0.777,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.213,0.213,2,2,1,1,0,0,0,0,0,0,1,0.715,0.715,2,2,1,1,0,0,0,0,0,0
"result.30",0,0.01,0.63,2,2,1,2,0,0,0,0,0,0,0,0,0.394,2,2,1,1,2,1,0,0,0,0
"result.31",1,0.51,0.51,2,2,1,1,0,0,0,0,0,0,1,0.594,0.594,2,2,1,1,0,0,0,0,0,0
"result.32",1,0.259,0.259,2,2,1,1,0,0,0,0,0,0,1,0.765,0.765,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.342,0.342,2,2,1,1,0,0,0,0,0,0,1,0.753,0.753,2,2,1,1,0,0,0,0,0,0
"result.34",1,0.404,0.404,2,2,1,1,0,0,0,0,0,0,1,0.486,0.486,2,2,1,1,0,0,0,0,0,0
"result.35",1,0.361,0.361,2,2,1,1,0,0,0,0,0,0,0,0.105,0.695,2,2,2,1,0,0,0,0,0,0
"result.36",1,0.581,0.581,2,2,1,1,0,0,0,0,0,0,1,0.569,0.569,2,2,1,1,0,0,0,0,0,0
"result.37",1,0.591,0.591,2,2,1,1,0,0,0,0,0,0,1,0.531,0.531,2,2,1,1,0,0,0,0,0,0
"result.38",1,0.645,0.645,2,2,1,1,0,0,0,0,0,0,1,0.714,0.714,2,2,1,1,0,0,0,0,0,0
"result.39",0,0.02,0.33,2,2,1,1,0,0,0,0,2,0,0,0.002,0.84,2,2,1,2,0,0,0,0,0,0
"result.40",1,0.377,0.377,2,2,1,1,0,0,0,0,0,0,1,0.613,0.613,2,2,1,1,0,0,0,0,0,0
"result.41",1,0.276,0.276,2,2,1,1,0,0,0,0,0,0,1,0.559,0.559,2,2,1,1,0,0,0,0,0,0
"result.42",1,0.305,0.305,2,2,1,1,0,0,0,0,0,0,1,0.651,0.651,2,2,1,1,0,0,0,0,0,0
"result.43",1,0.169,0.169,2,2,1,1,0,0,0,0,0,0,1,0.788,0.788,2,2,1,1,0,0,0,0,0,0
"result.44",1,0.477,0.477,2,2,1,1,0,0,0,0,0,0,1,0.584,0.584,2,2,1,1,0,0,0,0,0,0
