"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.484,0.484,2,2,1,1,0,0,0,0,0,0,1,0.068,0.068,2,2,1,1,0,0,0,0,0,0
"result.2",0,0.022,0.214,2,2,2,1,0,0,0,0,0,0,1,0.392,0.392,2,2,1,1,0,0,0,0,0,0
"result.3",0,0.051,0.18,2,2,1,1,0,1,0,0,0,0,1,0.23,0.23,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.18,0.18,2,2,1,1,0,0,0,0,0,0,0,0.071,0.302,2,2,2,1,0,0,0,0,0,2
"result.5",1,0.3,0.3,2,2,1,1,0,0,0,0,0,0,1,0.224,0.224,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.258,0.258,2,2,1,1,0,0,0,0,0,0,0,0,0.269,2,2,1,2,0,0,0,0,0,2
"result.7",1,0.181,0.181,2,2,1,1,0,0,0,0,0,0,1,0.472,0.472,2,2,1,1,0,0,0,0,0,0
"result.8",0,0.104,0.145,2,2,1,1,0,0,0,1,1,0,1,0.316,0.316,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.528,0.528,2,2,1,1,0,0,0,0,0,0,0,0.001,0.338,2,2,2,1,0,0,0,0,0,0
"result.10",0,0.08,0.181,1,2,1,1,0,0,0,0,0,0,0,0.063,0.179,2,2,1,1,0,0,0,1,0,0
"result.11",1,0.462,0.462,2,2,1,1,0,0,0,0,0,0,0,0.084,0.192,2,2,1,1,0,0,0,0,0,1
"result.12",1,0.305,0.305,2,2,1,1,0,0,0,0,0,0,0,0.026,0.222,2,2,1,1,1,0,0,0,0,0
"result.13",0,0.031,0.065,2,2,1,1,1,0,0,0,0,0,1,0.227,0.227,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.337,0.337,2,2,1,1,0,0,0,0,0,0,1,0.449,0.449,2,2,1,1,0,0,0,0,0,0
"result.15",0,0.099,0.164,2,2,1,1,0,0,0,1,0,0,1,0.097,0.097,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.487,0.487,2,2,1,1,0,0,0,0,0,0,0,0.025,0.315,2,2,1,1,0,0,2,0,0,0
"result.17",1,0.115,0.115,2,2,1,1,0,0,0,0,0,0,0,0.053,0.251,2,2,1,1,2,0,0,0,0,0
