"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.67",1,0.377,0.377,2,2,1,1,0,0,0,0,0,0
"result.68",0,0.006,0.344,2,2,1,1,0,0,0,1,0,1
"result.69",1,0.654,0.654,2,2,1,1,0,0,0,0,0,0
"result.70",1,0.57,0.57,2,2,1,1,0,0,0,0,0,0
"result.71",1,0.222,0.222,2,2,1,1,0,0,0,0,0,0
"result.72",1,0.486,0.486,2,2,1,1,0,0,0,0,0,0
"result.73",1,0.376,0.376,2,2,1,1,0,0,0,0,0,0
"result.74",1,0.587,0.587,2,2,1,1,0,0,0,0,0,0
"result.75",1,0.531,0.531,2,2,1,1,0,0,0,0,0,0
"result.76",0,0.153,0.42,2,2,1,1,0,0,0,0,1,0
"result.77",1,0.304,0.304,2,2,1,1,0,0,0,0,0,0
"result.78",1,0.486,0.486,2,2,1,1,0,0,0,0,0,0
"result.79",1,0.429,0.429,2,2,1,1,0,0,0,0,0,0
"result.80",0,0.225,0.231,2,2,1,1,0,0,1,0,0,0
"result.81",1,0.548,0.548,2,2,1,1,0,0,0,0,0,0
"result.82",1,0.318,0.318,2,2,1,1,0,0,0,0,0,0
"result.83",1,0.626,0.626,2,2,1,1,0,0,0,0,0,0
"result.84",1,0.384,0.384,2,2,1,1,0,0,0,0,0,0
"result.85",1,0.424,0.424,2,2,1,1,0,0,0,0,0,0
"result.86",1,0.515,0.515,2,2,1,1,0,0,0,0,0,0
"result.87",1,0.239,0.239,2,2,1,1,0,0,0,0,0,0
"result.88",1,0.408,0.408,2,2,1,1,0,0,0,0,0,0
"result.89",1,0.573,0.573,2,2,1,1,0,0,0,0,0,0
"result.90",1,0.594,0.594,2,2,1,1,0,0,0,0,0,0
"result.91",1,0.233,0.233,2,2,1,1,0,0,0,0,0,0
"result.92",1,0.259,0.259,2,2,1,1,0,0,0,0,0,0
"result.93",0,0.018,0.378,2,2,1,1,0,1,0,0,0,0
"result.94",1,0.216,0.216,2,2,1,1,0,0,0,0,0,0
"result.95",1,0.652,0.652,2,2,1,1,0,0,0,0,0,0
"result.96",0,0.051,0.359,2,2,1,1,0,0,0,0,0,1
"result.97",1,0.531,0.531,2,2,1,1,0,0,0,0,0,0
"result.98",1,0.624,0.624,2,2,1,1,0,0,0,0,0,0
"result.99",1,0.363,0.363,2,2,1,1,0,0,0,0,0,0
"result.100",1,0.602,0.602,2,2,1,1,0,0,0,0,0,0
