"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.438,0.438,2,2,1,1,0,0,0,0,0,0,1,0.762,0.762,2,2,1,1,0,0,0,0,0,0
"result.2",1,0.553,0.553,2,2,1,1,0,0,0,0,0,0,1,0.775,0.775,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.462,0.462,2,2,1,1,0,0,0,0,0,0,1,0.4,0.4,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.601,0.601,2,2,1,1,0,0,0,0,0,0,1,0.452,0.452,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.511,0.511,2,2,1,1,0,0,0,0,0,0,1,0.679,0.679,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.445,0.445,2,2,1,1,0,0,0,0,0,0,1,0.486,0.486,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.635,0.635,2,2,1,1,0,0,0,0,0,0,1,0.522,0.522,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.308,0.308,2,2,1,1,0,0,0,0,0,0,1,0.665,0.665,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.628,0.628,2,2,1,1,0,0,0,0,0,0,1,0.699,0.699,2,2,1,1,0,0,0,0,0,0
"result.10",1,0.666,0.666,2,2,1,1,0,0,0,0,0,0,1,0.34,0.34,2,2,1,1,0,0,0,0,0,0
"result.11",0,0.014,0.646,2,2,2,2,0,0,0,0,0,0,1,0.388,0.388,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.496,0.496,2,2,1,1,0,0,0,0,0,0,0,0.236,0.453,2,2,1,1,0,0,0,0,1,0
"result.13",0,0.147,0.266,2,2,1,2,0,0,0,0,0,0,1,0.769,0.769,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.499,0.499,2,2,1,1,0,0,0,0,0,0,1,0.644,0.644,2,2,1,1,0,0,0,0,0,0
"result.15",0,0.042,0.095,2,2,1,1,1,1,0,1,0,0,0,0.155,0.31,2,2,1,1,0,2,0,0,0,0
"result.16",1,0.219,0.219,2,2,1,1,0,0,0,0,0,0,1,0.697,0.697,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.539,0.539,2,2,1,1,0,0,0,0,0,0,1,0.516,0.516,2,2,1,1,0,0,0,0,0,0
"result.18",0,0.113,0.213,2,2,1,1,0,0,0,0,0,2,0,0.02,0.809,2,2,1,2,0,0,0,0,0,0
"result.19",1,0.354,0.354,2,2,1,1,0,0,0,0,0,0,1,0.658,0.658,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.59,0.59,2,2,1,1,0,0,0,0,0,0,1,0.698,0.698,2,2,1,1,0,0,0,0,0,0
"result.21",0,0.006,0.342,2,2,1,2,0,0,0,1,0,0,1,0.637,0.637,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.465,0.465,2,2,1,1,0,0,0,0,0,0,1,0.623,0.623,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.18,0.18,2,2,1,1,0,0,0,0,0,0,1,0.706,0.706,2,2,1,1,0,0,0,0,0,0
"result.24",1,0.24,0.24,2,2,1,1,0,0,0,0,0,0,1,0.458,0.458,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.517,0.517,2,2,1,1,0,0,0,0,0,0,1,0.268,0.268,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.518,0.518,2,2,1,1,0,0,0,0,0,0,1,0.705,0.705,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.508,0.508,2,2,1,1,0,0,0,0,0,0,1,0.701,0.701,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.439,0.439,2,2,1,1,0,0,0,0,0,0,1,0.68,0.68,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.616,0.616,2,2,1,1,0,0,0,0,0,0,1,0.631,0.631,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.239,0.239,2,2,1,1,0,0,0,0,0,0,1,0.567,0.567,2,2,1,1,0,0,0,0,0,0
