"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",0,0,0.193,1,1,1,1,0,0,1,0,1,0,0,0.079,0.371,2,1,1,1,0,0,0,0,0,0
"result.2",0,0,0.197,2,1,1,0,0,0,0,0,0,0,1,0.499,0.499,2,2,1,1,0,0,0,0,0,0
"result.3",0,0.078,0.201,2,1,1,1,0,0,0,0,0,0,0,0.003,0.48,2,1,1,1,0,0,0,0,0,0
"result.4",0,0.002,0.333,2,2,0,0,0,0,0,0,0,0,0,0.232,0.602,2,2,1,0,0,0,0,0,0,0
"result.5",0,0.001,0.34,1,2,1,0,0,0,0,0,0,0,0,0.241,0.447,2,2,1,1,0,0,0,0,1,0
"result.6",0,0.009,0.186,2,2,1,0,1,0,0,0,0,0,1,0.494,0.494,2,2,1,1,0,0,0,0,0,0
"result.7",0,0.064,0.211,2,2,0,1,0,0,0,0,0,0,1,0.737,0.737,2,2,1,1,0,0,0,0,0,0
"result.8",0,0.001,0.272,1,2,1,1,0,0,0,0,0,0,1,0.288,0.288,2,2,1,1,0,0,0,0,0,0
"result.9",0,0,0.385,2,0,0,0,0,0,0,0,0,0,1,0.23,0.23,2,2,1,1,0,0,0,0,0,0
"result.10",0,0.003,0.203,2,1,1,0,0,0,0,0,0,0,1,0.721,0.721,2,2,1,1,0,0,0,0,0,0
"result.11",0,0.035,0.148,2,2,1,1,0,0,1,0,0,1,0,0.154,0.39,2,1,1,1,0,0,0,0,0,0
"result.12",0,0,0.319,0,0,0,0,0,0,0,0,0,0,1,0.694,0.694,2,2,1,1,0,0,0,0,0,0
"result.13",0,0.002,0.117,1,2,1,1,0,0,0,0,0,0,0,0.013,0.601,1,2,1,1,0,0,0,0,0,0
"result.14",1,0.113,0.113,2,2,1,1,0,0,0,0,0,0,0,0.101,0.58,2,2,0,1,0,0,0,0,0,0
"result.15",0,0.001,0.149,1,2,0,0,0,0,0,0,0,0,1,0.534,0.534,2,2,1,1,0,0,0,0,0,0
"result.16",0,0.002,0.372,1,2,0,0,0,0,0,0,0,0,1,0.72,0.72,2,2,1,1,0,0,0,0,0,0
"result.17",0,0.054,0.363,2,2,1,1,0,0,2,0,0,0,1,0.734,0.734,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.465,0.465,2,2,1,1,0,0,0,0,0,0,1,0.446,0.446,2,2,1,1,0,0,0,0,0,0
"result.19",0,0.137,0.158,2,2,0,1,0,0,0,0,0,0,0,0.174,0.412,2,2,0,1,0,0,0,0,0,0
"result.20",0,0,0.14,2,0,0,0,0,0,0,0,0,0,1,0.527,0.527,2,2,1,1,0,0,0,0,0,0
"result.21",0,0.028,0.255,2,2,0,1,0,0,0,0,0,0,1,0.672,0.672,2,2,1,1,0,0,0,0,0,0
"result.22",0,0,0.379,1,0,0,0,0,0,0,0,0,0,1,0.761,0.761,2,2,1,1,0,0,0,0,0,0
"result.23",0,0.019,0.327,2,2,0,1,0,0,0,0,0,0,1,0.793,0.793,2,2,1,1,0,0,0,0,0,0
"result.24",0,0.001,0.343,2,1,0,1,0,0,0,0,0,0,1,0.24,0.24,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.564,0.564,2,2,1,1,0,0,0,0,0,0,0,0.163,0.421,2,1,1,1,0,0,0,0,0,0
"result.26",0,0.008,0.246,1,1,1,1,0,0,0,0,0,0,0,0.012,0.246,1,1,1,1,0,1,0,0,0,0
"result.27",0,0,0.377,1,1,1,1,0,0,0,0,0,0,1,0.239,0.239,2,2,1,1,0,0,0,0,0,0
"result.28",0,0.082,0.617,2,2,0,1,0,0,0,0,0,0,1,0.637,0.637,2,2,1,1,0,0,0,0,0,0
"result.29",0,0.002,0.237,2,2,0,0,0,0,1,0,1,0,0,0.214,0.489,2,2,1,1,0,1,0,0,0,0
"result.30",0,0.008,0.411,1,2,1,0,0,0,0,0,0,0,1,0.599,0.599,2,2,1,1,0,0,0,0,0,0
"result.31",0,0.001,0.229,1,1,1,1,0,0,1,0,0,0,1,0.386,0.386,2,2,1,1,0,0,0,0,0,0
"result.32",0,0,0.261,1,2,2,1,0,0,0,0,0,0,1,0.653,0.653,2,2,1,1,0,0,0,0,0,0
"result.33",0,0.001,0.253,2,1,1,1,0,0,0,0,0,0,1,0.487,0.487,2,2,1,1,0,0,0,0,0,0
"result.34",0,0.039,0.257,1,1,1,1,0,0,0,0,0,0,1,0.712,0.712,2,2,1,1,0,0,0,0,0,0
"result.35",0,0.033,0.384,1,2,1,1,0,0,0,0,0,0,1,0.55,0.55,2,2,1,1,0,0,0,0,0,0
"result.36",0,0.001,0.484,1,2,0,1,0,0,0,0,0,0,1,0.624,0.624,2,2,1,1,0,0,0,0,0,0
"result.37",0,0.043,0.227,2,2,1,0,0,0,0,0,0,0,0,0.096,0.293,1,2,1,1,0,0,0,0,0,0
"result.38",0,0.005,0.226,1,2,1,1,0,0,1,0,0,0,1,0.472,0.472,2,2,1,1,0,0,0,0,0,0
