"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.32",1,0.664,0.664,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.475,0.475,2,2,1,1,0,0,0,0,0,0
"result.34",1,0.295,0.295,2,2,1,1,0,0,0,0,0,0
"result.35",1,0.56,0.56,2,2,1,1,0,0,0,0,0,0
"result.36",1,0.524,0.524,2,2,1,1,0,0,0,0,0,0
"result.37",1,0.458,0.458,2,2,1,1,0,0,0,0,0,0
"result.38",1,0.628,0.628,2,2,1,1,0,0,0,0,0,0
"result.39",1,0.494,0.494,2,2,1,1,0,0,0,0,0,0
"result.40",1,0.556,0.556,2,2,1,1,0,0,0,0,0,0
"result.41",1,0.516,0.516,2,2,1,1,0,0,0,0,0,0
"result.42",1,0.647,0.647,2,2,1,1,0,0,0,0,0,0
"result.43",1,0.587,0.587,2,2,1,1,0,0,0,0,0,0
"result.44",0,0.017,0.293,2,2,1,1,0,0,1,0,0,1
"result.45",1,0.668,0.668,2,2,1,1,0,0,0,0,0,0
"result.46",1,0.606,0.606,2,2,1,1,0,0,0,0,0,0
"result.47",1,0.568,0.568,2,2,1,1,0,0,0,0,0,0
"result.48",1,0.672,0.672,2,2,1,1,0,0,0,0,0,0
"result.49",0,0.109,0.375,2,2,1,1,0,0,1,0,0,0
"result.50",1,0.372,0.372,2,2,1,1,0,0,0,0,0,0
"result.51",1,0.356,0.356,2,2,1,1,0,0,0,0,0,0
"result.52",1,0.654,0.654,2,2,1,1,0,0,0,0,0,0
"result.53",1,0.62,0.62,2,2,1,1,0,0,0,0,0,0
"result.54",1,0.65,0.65,2,2,1,1,0,0,0,0,0,0
"result.55",1,0.538,0.538,2,2,1,1,0,0,0,0,0,0
"result.56",1,0.434,0.434,2,2,1,1,0,0,0,0,0,0
"result.57",1,0.54,0.54,2,2,1,1,0,0,0,0,0,0
"result.58",1,0.537,0.537,2,2,1,1,0,0,0,0,0,0
"result.59",1,0.588,0.588,2,2,1,1,0,0,0,0,0,0
"result.60",1,0.627,0.627,2,2,1,1,0,0,0,0,0,0
"result.61",1,0.48,0.48,2,2,1,1,0,0,0,0,0,0
"result.62",1,0.687,0.687,2,2,1,1,0,0,0,0,0,0
"result.63",1,0.646,0.646,2,2,1,1,0,0,0,0,0,0
"result.64",1,0.581,0.581,2,2,1,1,0,0,0,0,0,0
"result.65",1,0.315,0.315,2,2,1,1,0,0,0,0,0,0
"result.66",1,0.422,0.422,2,2,1,1,0,0,0,0,0,0
"result.67",1,0.638,0.638,2,2,1,1,0,0,0,0,0,0
"result.68",1,0.474,0.474,2,2,1,1,0,0,0,0,0,0
"result.69",1,0.379,0.379,2,2,1,1,0,0,0,0,0,0
"result.70",1,0.322,0.322,2,2,1,1,0,0,0,0,0,0
"result.71",1,0.613,0.613,2,2,1,1,0,0,0,0,0,0
"result.72",1,0.597,0.597,2,2,1,1,0,0,0,0,0,0
"result.73",1,0.585,0.585,2,2,1,1,0,0,0,0,0,0
"result.74",0,0.138,0.232,2,2,1,1,0,0,1,0,0,0
"result.75",1,0.684,0.684,2,2,1,1,0,0,0,0,0,0
"result.76",1,0.672,0.672,2,2,1,1,0,0,0,0,0,0
"result.77",1,0.624,0.624,2,2,1,1,0,0,0,0,0,0
"result.78",0,0.088,0.235,2,2,1,1,0,0,0,0,1,1
"result.79",1,0.609,0.609,2,2,1,1,0,0,0,0,0,0
"result.80",1,0.594,0.594,2,2,1,1,0,0,0,0,0,0
"result.81",1,0.626,0.626,2,2,1,1,0,0,0,0,0,0
"result.82",1,0.625,0.625,2,2,1,1,0,0,0,0,0,0
"result.83",1,0.368,0.368,2,2,1,1,0,0,0,0,0,0
"result.84",1,0.547,0.547,2,2,1,1,0,0,0,0,0,0
"result.85",1,0.356,0.356,2,2,1,1,0,0,0,0,0,0
"result.86",1,0.451,0.451,2,2,1,1,0,0,0,0,0,0
"result.87",1,0.472,0.472,2,2,1,1,0,0,0,0,0,0
"result.88",0,0.172,0.287,2,2,1,1,1,0,0,0,0,0
"result.89",1,0.64,0.64,2,2,1,1,0,0,0,0,0,0
"result.90",1,0.482,0.482,2,2,1,1,0,0,0,0,0,0
"result.91",1,0.493,0.493,2,2,1,1,0,0,0,0,0,0
"result.92",1,0.416,0.416,2,2,1,1,0,0,0,0,0,0
"result.93",1,0.436,0.436,2,2,1,1,0,0,0,0,0,0
"result.94",1,0.647,0.647,2,2,1,1,0,0,0,0,0,0
"result.95",1,0.447,0.447,2,2,1,1,0,0,0,0,0,0
"result.96",0,0.165,0.251,2,2,1,1,1,0,0,0,0,0
"result.97",1,0.676,0.676,2,2,1,1,0,0,0,0,0,0
"result.98",1,0.65,0.65,2,2,1,1,0,0,0,0,0,0
"result.99",1,0.681,0.681,2,2,1,1,0,0,0,0,0,0
"result.100",1,0.675,0.675,2,2,1,1,0,0,0,0,0,0
