"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.1",1,0.477,0.477,2,2,1,1,0,0,0,0,0,0
"result.2",1,0.604,0.604,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.607,0.607,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.508,0.508,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.533,0.533,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.676,0.676,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.395,0.395,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.511,0.511,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.653,0.653,2,2,1,1,0,0,0,0,0,0
"result.10",1,0.542,0.542,2,2,1,1,0,0,0,0,0,0
"result.11",1,0.652,0.652,2,2,1,1,0,0,0,0,0,0
"result.12",0,0.126,0.289,2,2,1,1,0,0,0,1,0,0
"result.13",1,0.354,0.354,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.689,0.689,2,2,1,1,0,0,0,0,0,0
"result.15",1,0.518,0.518,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.475,0.475,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.481,0.481,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.423,0.423,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.539,0.539,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.589,0.589,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.701,0.701,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.608,0.608,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.574,0.574,2,2,1,1,0,0,0,0,0,0
"result.24",1,0.443,0.443,2,2,1,1,0,0,0,0,0,0
"result.25",0,0.078,0.245,2,2,1,1,0,0,0,1,0,0
"result.26",1,0.576,0.576,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.516,0.516,2,2,1,1,0,0,0,0,0,0
"result.28",0,0.003,0.689,2,2,1,2,0,0,0,0,0,0
"result.29",1,0.367,0.367,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.634,0.634,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.567,0.567,2,2,1,1,0,0,0,0,0,0
