"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",0,0.296,0.333,2,2,1,1,0,0,0,1,0,0,1,0.351,0.351,2,2,1,1,0,0,0,0,0,0
"result.2",1,0.456,0.456,2,2,1,1,0,0,0,0,0,0,1,0.691,0.691,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.727,0.727,2,2,1,1,0,0,0,0,0,0,1,0.773,0.773,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.606,0.606,2,2,1,1,0,0,0,0,0,0,1,0.439,0.439,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.546,0.546,2,2,1,1,0,0,0,0,0,0,1,0.473,0.473,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.771,0.771,2,2,1,1,0,0,0,0,0,0,1,0.674,0.674,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.807,0.807,2,2,1,1,0,0,0,0,0,0,1,0.623,0.623,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.704,0.704,2,2,1,1,0,0,0,0,0,0,1,0.75,0.75,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.702,0.702,2,2,1,1,0,0,0,0,0,0,0,0.114,0.577,2,2,1,1,0,0,0,1,0,0
"result.10",1,0.791,0.791,2,2,1,1,0,0,0,0,0,0,1,0.723,0.723,2,2,1,1,0,0,0,0,0,0
"result.11",1,0.731,0.731,2,2,1,1,0,0,0,0,0,0,1,0.746,0.746,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.709,0.709,2,2,1,1,0,0,0,0,0,0,1,0.763,0.763,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.746,0.746,2,2,1,1,0,0,0,0,0,0,1,0.615,0.615,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.658,0.658,2,2,1,1,0,0,0,0,0,0,1,0.804,0.804,2,2,1,1,0,0,0,0,0,0
"result.15",1,0.617,0.617,2,2,1,1,0,0,0,0,0,0,1,0.673,0.673,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.425,0.425,2,2,1,1,0,0,0,0,0,0,1,0.548,0.548,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.727,0.727,2,2,1,1,0,0,0,0,0,0,1,0.615,0.615,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.741,0.741,2,2,1,1,0,0,0,0,0,0,1,0.767,0.767,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.798,0.798,2,2,1,1,0,0,0,0,0,0,0,0.075,0.19,2,2,1,1,0,0,0,0,0,1
"result.20",1,0.745,0.745,2,2,1,1,0,0,0,0,0,0,1,0.589,0.589,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.516,0.516,2,2,1,1,0,0,0,0,0,0,1,0.755,0.755,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.64,0.64,2,2,1,1,0,0,0,0,0,0,1,0.59,0.59,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.56,0.56,2,2,1,1,0,0,0,0,0,0,0,0.241,0.407,2,2,1,1,1,0,0,0,0,0
"result.24",1,0.453,0.453,2,2,1,1,0,0,0,0,0,0,1,0.673,0.673,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.588,0.588,2,2,1,1,0,0,0,0,0,0,1,0.564,0.564,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.586,0.586,2,2,1,1,0,0,0,0,0,0,1,0.436,0.436,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.586,0.586,2,2,1,1,0,0,0,0,0,0,1,0.691,0.691,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.735,0.735,2,2,1,1,0,0,0,0,0,0,1,0.672,0.672,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.747,0.747,2,2,1,1,0,0,0,0,0,0,0,0.143,0.568,2,2,1,1,0,0,0,0,0,1
"result.30",1,0.547,0.547,2,2,1,1,0,0,0,0,0,0,1,0.626,0.626,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.537,0.537,2,2,1,1,0,0,0,0,0,0,1,0.646,0.646,2,2,1,1,0,0,0,0,0,0
"result.32",0,0.176,0.444,2,2,1,2,0,0,0,0,0,0,1,0.598,0.598,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.66,0.66,2,2,1,1,0,0,0,0,0,0,1,0.449,0.449,2,2,1,1,0,0,0,0,0,0
"result.34",1,0.697,0.697,2,2,1,1,0,0,0,0,0,0,1,0.747,0.747,2,2,1,1,0,0,0,0,0,0
"result.35",1,0.645,0.645,2,2,1,1,0,0,0,0,0,0,1,0.714,0.714,2,2,1,1,0,0,0,0,0,0
"result.36",1,0.685,0.685,2,2,1,1,0,0,0,0,0,0,1,0.728,0.728,2,2,1,1,0,0,0,0,0,0
"result.37",1,0.716,0.716,2,2,1,1,0,0,0,0,0,0,1,0.643,0.643,2,2,1,1,0,0,0,0,0,0
"result.38",1,0.755,0.755,2,2,1,1,0,0,0,0,0,0,1,0.427,0.427,2,2,1,1,0,0,0,0,0,0
"result.39",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0,1,0.549,0.549,2,2,1,1,0,0,0,0,0,0
"result.40",1,0.769,0.769,2,2,1,1,0,0,0,0,0,0,0,0.248,0.509,2,2,1,2,0,0,0,0,0,0
"result.41",1,0.644,0.644,2,2,1,1,0,0,0,0,0,0,1,0.686,0.686,2,2,1,1,0,0,0,0,0,0
"result.42",1,0.514,0.514,2,2,1,1,0,0,0,0,0,0,1,0.796,0.796,2,2,1,1,0,0,0,0,0,0
"result.43",1,0.756,0.756,2,2,1,1,0,0,0,0,0,0,1,0.698,0.698,2,2,1,1,0,0,0,0,0,0
"result.44",1,0.557,0.557,2,2,1,1,0,0,0,0,0,0,1,0.656,0.656,2,2,1,1,0,0,0,0,0,0
"result.45",1,0.553,0.553,2,2,1,1,0,0,0,0,0,0,1,0.493,0.493,2,2,1,1,0,0,0,0,0,0
"result.46",1,0.732,0.732,2,2,1,1,0,0,0,0,0,0,1,0.738,0.738,2,2,1,1,0,0,0,0,0,0
"result.47",1,0.747,0.747,2,2,1,1,0,0,0,0,0,0,1,0.486,0.486,2,2,1,1,0,0,0,0,0,0
"result.48",1,0.53,0.53,2,2,1,1,0,0,0,0,0,0,1,0.7,0.7,2,2,1,1,0,0,0,0,0,0
"result.49",1,0.698,0.698,2,2,1,1,0,0,0,0,0,0,1,0.709,0.709,2,2,1,1,0,0,0,0,0,0
"result.50",1,0.735,0.735,2,2,1,1,0,0,0,0,0,0,1,0.588,0.588,2,2,1,1,0,0,0,0,0,0
"result.51",1,0.771,0.771,2,2,1,1,0,0,0,0,0,0,1,0.513,0.513,2,2,1,1,0,0,0,0,0,0
"result.52",1,0.753,0.753,2,2,1,1,0,0,0,0,0,0,1,0.678,0.678,2,2,1,1,0,0,0,0,0,0
"result.53",0,0.329,0.401,2,2,1,1,0,0,1,0,0,0,0,0.135,0.401,2,2,1,1,1,0,0,0,0,0
"result.54",1,0.618,0.618,2,2,1,1,0,0,0,0,0,0,1,0.815,0.815,2,2,1,1,0,0,0,0,0,0
"result.55",1,0.75,0.75,2,2,1,1,0,0,0,0,0,0,1,0.712,0.712,2,2,1,1,0,0,0,0,0,0
"result.56",1,0.541,0.541,2,2,1,1,0,0,0,0,0,0,1,0.685,0.685,2,2,1,1,0,0,0,0,0,0
"result.57",1,0.668,0.668,2,2,1,1,0,0,0,0,0,0,1,0.712,0.712,2,2,1,1,0,0,0,0,0,0
"result.58",1,0.472,0.472,2,2,1,1,0,0,0,0,0,0,1,0.768,0.768,2,2,1,1,0,0,0,0,0,0
"result.59",0,0.001,0.743,2,2,1,2,0,0,0,0,0,0,1,0.686,0.686,2,2,1,1,0,0,0,0,0,0
"result.60",1,0.723,0.723,2,2,1,1,0,0,0,0,0,0,1,0.648,0.648,2,2,1,1,0,0,0,0,0,0
"result.61",1,0.572,0.572,2,2,1,1,0,0,0,0,0,0,1,0.444,0.444,2,2,1,1,0,0,0,0,0,0
"result.62",1,0.725,0.725,2,2,1,1,0,0,0,0,0,0,1,0.772,0.772,2,2,1,1,0,0,0,0,0,0
"result.63",1,0.453,0.453,2,2,1,1,0,0,0,0,0,0,1,0.47,0.47,2,2,1,1,0,0,0,0,0,0
"result.64",1,0.781,0.781,2,2,1,1,0,0,0,0,0,0,1,0.645,0.645,2,2,1,1,0,0,0,0,0,0
"result.65",1,0.456,0.456,2,2,1,1,0,0,0,0,0,0,1,0.591,0.591,2,2,1,1,0,0,0,0,0,0
"result.66",1,0.72,0.72,2,2,1,1,0,0,0,0,0,0,1,0.686,0.686,2,2,1,1,0,0,0,0,0,0
"result.67",0,0.218,0.301,2,2,2,1,0,0,0,0,0,0,1,0.73,0.73,2,2,1,1,0,0,0,0,0,0
"result.68",1,0.489,0.489,2,2,1,1,0,0,0,0,0,0,1,0.758,0.758,2,2,1,1,0,0,0,0,0,0
"result.69",1,0.653,0.653,2,2,1,1,0,0,0,0,0,0,1,0.782,0.782,2,2,1,1,0,0,0,0,0,0
"result.70",1,0.502,0.502,2,2,1,1,0,0,0,0,0,0,1,0.631,0.631,2,2,1,1,0,0,0,0,0,0
"result.71",1,0.629,0.629,2,2,1,1,0,0,0,0,0,0,1,0.77,0.77,2,2,1,1,0,0,0,0,0,0
"result.72",1,0.687,0.687,2,2,1,1,0,0,0,0,0,0,1,0.555,0.555,2,2,1,1,0,0,0,0,0,0
"result.73",1,0.784,0.784,2,2,1,1,0,0,0,0,0,0,1,0.777,0.777,2,2,1,1,0,0,0,0,0,0
"result.74",1,0.292,0.292,2,2,1,1,0,0,0,0,0,0,0,0.237,0.378,2,2,1,1,1,0,0,0,0,0
"result.75",1,0.671,0.671,2,2,1,1,0,0,0,0,0,0,1,0.644,0.644,2,2,1,1,0,0,0,0,0,0
"result.76",1,0.562,0.562,2,2,1,1,0,0,0,0,0,0,1,0.746,0.746,2,2,1,1,0,0,0,0,0,0
"result.77",1,0.733,0.733,2,2,1,1,0,0,0,0,0,0,1,0.62,0.62,2,2,1,1,0,0,0,0,0,0
"result.78",1,0.62,0.62,2,2,1,1,0,0,0,0,0,0,1,0.401,0.401,2,2,1,1,0,0,0,0,0,0
"result.79",1,0.739,0.739,2,2,1,1,0,0,0,0,0,0,1,0.731,0.731,2,2,1,1,0,0,0,0,0,0
"result.80",1,0.766,0.766,2,2,1,1,0,0,0,0,0,0,1,0.725,0.725,2,2,1,1,0,0,0,0,0,0
"result.81",1,0.708,0.708,2,2,1,1,0,0,0,0,0,0,1,0.794,0.794,2,2,1,1,0,0,0,0,0,0
"result.82",1,0.78,0.78,2,2,1,1,0,0,0,0,0,0,1,0.606,0.606,2,2,1,1,0,0,0,0,0,0
"result.83",1,0.684,0.684,2,2,1,1,0,0,0,0,0,0,1,0.724,0.724,2,2,1,1,0,0,0,0,0,0
"result.84",1,0.559,0.559,2,2,1,1,0,0,0,0,0,0,1,0.524,0.524,2,2,1,1,0,0,0,0,0,0
"result.85",1,0.777,0.777,2,2,1,1,0,0,0,0,0,0,1,0.369,0.369,2,2,1,1,0,0,0,0,0,0
"result.86",1,0.755,0.755,2,2,1,1,0,0,0,0,0,0,1,0.698,0.698,2,2,1,1,0,0,0,0,0,0
"result.87",1,0.598,0.598,2,2,1,1,0,0,0,0,0,0,1,0.769,0.769,2,2,1,1,0,0,0,0,0,0
"result.88",1,0.485,0.485,2,2,1,1,0,0,0,0,0,0,1,0.743,0.743,2,2,1,1,0,0,0,0,0,0
"result.89",1,0.746,0.746,2,2,1,1,0,0,0,0,0,0,1,0.647,0.647,2,2,1,1,0,0,0,0,0,0
"result.90",1,0.485,0.485,2,2,1,1,0,0,0,0,0,0,1,0.586,0.586,2,2,1,1,0,0,0,0,0,0
"result.91",1,0.683,0.683,2,2,1,1,0,0,0,0,0,0,1,0.664,0.664,2,2,1,1,0,0,0,0,0,0
"result.92",1,0.722,0.722,2,2,1,1,0,0,0,0,0,0,1,0.728,0.728,2,2,1,1,0,0,0,0,0,0
"result.93",1,0.669,0.669,2,2,1,1,0,0,0,0,0,0,1,0.431,0.431,2,2,1,1,0,0,0,0,0,0
"result.94",1,0.715,0.715,2,2,1,1,0,0,0,0,0,0,1,0.49,0.49,2,2,1,1,0,0,0,0,0,0
"result.95",1,0.729,0.729,2,2,1,1,0,0,0,0,0,0,1,0.448,0.448,2,2,1,1,0,0,0,0,0,0
"result.96",1,0.53,0.53,2,2,1,1,0,0,0,0,0,0,1,0.518,0.518,2,2,1,1,0,0,0,0,0,0
"result.97",1,0.71,0.71,2,2,1,1,0,0,0,0,0,0,0,0.163,0.453,2,2,1,1,0,0,1,0,0,0
"result.98",1,0.47,0.47,2,2,1,1,0,0,0,0,0,0,1,0.642,0.642,2,2,1,1,0,0,0,0,0,0
"result.99",1,0.395,0.395,2,2,1,1,0,0,0,0,0,0,1,0.754,0.754,2,2,1,1,0,0,0,0,0,0
"result.100",1,0.62,0.62,2,2,1,1,0,0,0,0,0,0,1,0.61,0.61,2,2,1,1,0,0,0,0,0,0
