"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"result.72",1,0.332,0.332,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.73",1,0.532,0.532,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.74",1,0.426,0.426,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.75",1,0.56,0.56,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.76",1,0.416,0.416,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.77",1,0.625,0.625,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.78",1,0.345,0.345,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.79",1,0.422,0.422,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.80",1,0.326,0.326,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.81",0,0.098,0.38,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0
"result.82",0,0.108,0.132,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0
"result.83",1,0.471,0.471,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.84",1,0.58,0.58,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.85",1,0.544,0.544,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.86",1,0.533,0.533,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.87",0,0.06,0.292,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"result.88",1,0.282,0.282,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.89",1,0.2,0.2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.90",0,0.04,0.313,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0
"result.91",0,0.196,0.222,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1
"result.92",1,0.467,0.467,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.93",1,0.623,0.623,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.94",1,0.347,0.347,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.95",1,0.48,0.48,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.96",1,0.476,0.476,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.97",1,0.493,0.493,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.98",1,0.611,0.611,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.99",0,0.046,0.408,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0
"result.100",1,0.618,0.618,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
