"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.447,0.447,2,2,1,1,0,0,0,0,0,0,1,0.697,0.697,2,2,1,1,0,0,0,0,0,0
"result.2",1,0.313,0.313,2,2,1,1,0,0,0,0,0,0,1,0.687,0.687,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.499,0.499,2,2,1,1,0,0,0,0,0,0,1,0.735,0.735,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.219,0.219,2,2,1,1,0,0,0,0,0,0,1,0.491,0.491,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.477,0.477,2,2,1,1,0,0,0,0,0,0,1,0.639,0.639,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.553,0.553,2,2,1,1,0,0,0,0,0,0,1,0.654,0.654,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.454,0.454,2,2,1,1,0,0,0,0,0,0,1,0.734,0.734,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.654,0.654,2,2,1,1,0,0,0,0,0,0,1,0.605,0.605,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.582,0.582,2,2,1,1,0,0,0,0,0,0,1,0.724,0.724,2,2,1,1,0,0,0,0,0,0
"result.10",1,0.269,0.269,2,2,1,1,0,0,0,0,0,0,0,0,0.656,2,2,1,1,0,0,2,0,0,0
"result.11",0,0,0.682,2,2,2,1,0,0,0,0,0,0,1,0.674,0.674,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.618,0.618,2,2,1,1,0,0,0,0,0,0,1,0.345,0.345,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.442,0.442,2,2,1,1,0,0,0,0,0,0,1,0.789,0.789,2,2,1,1,0,0,0,0,0,0
"result.14",0,0.18,0.238,2,2,1,1,0,0,1,0,0,0,1,0.682,0.682,2,2,1,1,0,0,0,0,0,0
"result.15",1,0.466,0.466,2,2,1,1,0,0,0,0,0,0,1,0.69,0.69,2,2,1,1,0,0,0,0,0,0
"result.16",0,0.053,0.157,2,2,1,1,0,0,0,1,0,1,1,0.641,0.641,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.576,0.576,2,2,1,1,0,0,0,0,0,0,1,0.701,0.701,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.588,0.588,2,2,1,1,0,0,0,0,0,0,1,0.491,0.491,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.552,0.552,2,2,1,1,0,0,0,0,0,0,1,0.769,0.769,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.297,0.297,2,2,1,1,0,0,0,0,0,0,1,0.794,0.794,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.488,0.488,2,2,1,1,0,0,0,0,0,0,1,0.757,0.757,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0,1,0.756,0.756,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.467,0.467,2,2,1,1,0,0,0,0,0,0,1,0.268,0.268,2,2,1,1,0,0,0,0,0,0
"result.24",0,0.089,0.308,2,2,1,1,2,0,0,0,0,0,1,0.725,0.725,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.337,0.337,2,2,1,1,0,0,0,0,0,0,1,0.465,0.465,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.616,0.616,2,2,1,1,0,0,0,0,0,0,1,0.538,0.538,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.399,0.399,2,2,1,1,0,0,0,0,0,0,1,0.636,0.636,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.352,0.352,2,2,1,1,0,0,0,0,0,0,1,0.728,0.728,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.333,0.333,2,2,1,1,0,0,0,0,0,0,1,0.285,0.285,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.409,0.409,2,2,1,1,0,0,0,0,0,0,1,0.773,0.773,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.479,0.479,2,2,1,1,0,0,0,0,0,0,1,0.758,0.758,2,2,1,1,0,0,0,0,0,0
"result.32",1,0.43,0.43,2,2,1,1,0,0,0,0,0,0,1,0.676,0.676,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.577,0.577,2,2,1,1,0,0,0,0,0,0,1,0.668,0.668,2,2,1,1,0,0,0,0,0,0
"result.34",1,0.39,0.39,2,2,1,1,0,0,0,0,0,0,1,0.696,0.696,2,2,1,1,0,0,0,0,0,0
