"","x"
"1",0.78
"2",0.725
"3",0.723333333333333
"4",0.71
"5",0.702
"6",0.71
"7",0.721428571428571
"8",0.71875
"9",0.72
"10",0.716
"11",0.711818181818182
"12",0.7175
"13",0.716153846153846
"14",0.718571428571429
"15",0.721333333333333
"16",0.724375
"17",0.728235294117647
"18",0.725
"19",0.719473684210526
"20",0.712
"21",0.706190476190476
"22",0.702272727272727
"23",0.705652173913043
"24",0.7075
"25",0.704
"26",0.704615384615385
"27",0.703703703703704
"28",0.703928571428571
"29",0.701724137931034
"30",0.702
"31",0.700967741935484
"32",0.70125
"33",0.702121212121212
"34",0.701764705882353
"35",0.703142857142857
"36",0.705
"37",0.702702702702703
"38",0.701315789473684
"39",0.701538461538462
"40",0.69975
"41",0.698536585365854
"42",0.701190476190476
"43",0.703488372093023
"44",0.704545454545455
"45",0.702444444444444
"46",0.702173913043478
"47",0.701914893617021
"48",0.7025
"49",0.700204081632653
"50",0.7002
"51",0.701176470588235
"52",0.700769230769231
"53",0.700566037735849
"54",0.700555555555556
"55",0.701272727272727
"56",0.7
"57",0.7
"58",0.699137931034483
"59",0.698135593220339
"60",0.698166666666667
"61",0.698524590163934
"62",0.698064516129032
"63",0.697777777777778
"64",0.696875
"65",0.695846153846154
"66",0.695757575757576
"67",0.695373134328358
"68",0.695441176470588
"69",0.694492753623188
"70",0.694571428571429
"71",0.693943661971831
"72",0.693194444444444
"73",0.693561643835616
"74",0.694189189189189
"75",0.6924
"76",0.692631578947368
"77",0.692467532467532
"78",0.693461538461538
"79",0.69379746835443
"80",0.695
"81",0.693333333333333
"82",0.692682926829268
"83",0.69289156626506
"84",0.693452380952381
"85",0.693411764705882
"86",0.693720930232558
"87",0.694252873563218
"88",0.693522727272727
"89",0.693370786516854
"90",0.691666666666667
"91",0.691318681318681
"92",0.690652173913043
"93",0.690645161290323
"94",0.690531914893617
"95",0.69
"96",0.689583333333333
"97",0.689484536082474
"98",0.688979591836735
"99",0.68979797979798
"100",0.6899
