"","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm"
"1",3.46795977889914,-79.3979880669738,-116.645758523527,-64.3010586016533,-33.3283239180141,-33.3283239180141,4.60517018513341,-59.6031352562231,-32.0151105731182,-54.1292808709332,-20.2227634936935,-20.2227634936935,4.6051701859821,-26.3272752940876,-4.88977449756453,-15.8027740070592,-14.7900767267679,-14.7900767267679,4.60517018596872,-27.5325982455966,-8.9333579388562,-29.9499900508941,-8.00408294062776,-8.00408294062776,4.6051701859636,-16.5749156613979,-0.332704894552862,-17.8816474456378,-4.29590553996034,-4.29590553996034,4.48676132128531,-18.0529361074939,-4.92812373458014,-24.1023849148301,-12.825308554104,-12.825308554104,4.60517018573395,-19.6867793612429,0.3246644707298,-15.199748150303,-13.7738924708443,-13.7738924708443,4.60517018562663,-18.1665480300598,-2.35287027301771,-50.2982093046244,-7.4200584208959,-7.4200584208959,4.60517018581342,-12.34682450322,-2.10535431543187,-12.3715887016545,-4.34201770399486,-4.34201770399486,4.6051701859559,-25.8910221180531,-2.64260475985193,-21.325233551238,-6.07759031146162,-6.07759031146162
"2",1.51022377569402,-103.224173868409,-101.574080699382,-74.6127402569364,-40.3994091362971,-40.3994091362971,0.0571014466321102,-27.4463051206081,-31.1370071891671,-50.724814983675,-7.56565571174768,-7.56565571174768,4.60517018563667,-26.1939497558446,-11.2142901699168,-41.0393072855292,-20.8591770503505,-20.8591770503505,2.88317084009847,-28.5067664209115,0.133045453922961,-28.613854310143,-13.7411134607198,-13.7411134607198,1.71878430560011,-27.0268484367617,-1.80907159624122,-18.7005581491819,-14.6407673589068,-14.6407673589068,4.60517018598773,-3.47373631382854,-0.92180309161914,-22.2210120326154,-3.89312353075771,-3.89312353075771,4.60517018527902,-15.1635998086741,-2.28706384025224,-29.8767479658005,-11.0121240998185,-11.0121240998185,4.22674866296779,-27.1213448057398,-5.82756351924442,-22.0028280351306,-10.6650692737373,-10.6650692737373,4.60517018597065,-6.6362777078017,1.96363834585347,-3.79755430895176,-2.84937168648545,-2.84937168648545,4.60517018594538,-18.8757398873517,1.71216818996663,-1.33387512038908,-8.99191916003251,-8.99191916003251
"3",4.60517004383203,-91.4667097666807,-125.413917662903,-93.1290779131028,-36.7530663451667,-36.7530663451667,4.60517018591654,-32.7006002459394,-13.1097798841095,-32.768161326684,-22.5053987691713,-22.5053987691713,4.60517018518225,-26.9887958575156,-17.7349012094293,-38.8134840393698,-11.3368757358253,-11.3368757358253,3.56122655873925,-29.4648518120104,1.92485518935179,-10.5522340122104,-14.0471203299424,-14.0471203299424,4.60517018566237,-4.45052439766644,-2.32434816635813,-22.7682707160859,-4.54777512750336,-4.54777512750336,4.60517018598276,-16.7696381322662,-5.6543620342516,-18.174569752901,-9.61016945504578,-9.61016945504578,4.60517018595411,-17.5356431721763,-5.05726252308847,-31.5177013805778,-4.95513869130403,-4.95513869130403,4.60517018597477,-16.2848567607948,-4.65592493780872,-38.1893428311683,-5.10249667936581,-5.10249667936581,1.98690602227262,-9.60646643561635,2.87390829769205,-13.8996266756614,-7.75064766092812,-7.75064766092812,4.60517018598648,-20.7254192479952,-6.85945578454513,-54.9882269762808,-13.7449815821973,-13.7449815821973
"4",4.60517017682951,-59.8177033916825,-71.6788637379974,-70.2204726691257,-32.3600639177163,-32.3600639177163,4.60517018581449,-36.5813785240662,-17.8786618050852,-46.9767019455397,-19.0531435245436,-19.0531435245436,4.60517018576795,-26.5930949764323,-8.72848119061989,-22.5365815262152,-22.8194890285344,-22.8194890285344,-0.544525275102942,-14.064665962234,-8.58423658308988,-24.3873772317262,-6.86205516519713,-6.86205516519713,4.60517018589067,-30.697726533396,-1.87982331119517,-7.38234160488035,-16.6392328065352,-16.6392328065352,4.60517018586677,-11.6036126426156,-6.15800194381559,-33.307865964148,-11.7893560510532,-11.7893560510532,4.60517018595741,-8.36319360940915,-2.45721600996481,-17.9480139698829,-8.05252763978521,-8.05252763978521,4.60517018455994,-9.69213508257194,-1.56117789242555,-8.60904598817717,-0.994278963772999,-0.994278963772999,4.60517018591963,-12.6617864642888,-5.31157688113362,-29.5748131403612,-2.14082407761383,-2.14082407761383,4.60517018592924,-16.0819977919155,0.140233358286821,-29.5305296189136,-7.23692185428813,-7.23692185428813
"5",4.60517016610656,-46.8433646811831,-79.9322540478585,-57.86632669799,-17.5362816145085,-17.5362816145085,2.68663078273016,-44.4242763749334,-14.1947686945982,-28.8720273728807,-26.7157311160418,-26.7157311160418,4.60517018598014,-32.6704018982581,-3.83973457292855,-16.2505449215695,-17.9425195651924,-17.9425195651924,4.05852625195246,-17.5720787732483,-7.79615404730637,-17.1965378844912,-9.84889169860691,-9.84889169860691,-0.0547720811876786,-27.1523830940253,3.83466564100746,-10.6713668062038,-13.4963684417745,-13.4963684417745,4.605170185969,-31.9407782601546,-1.06875150580605,-10.2034166002825,-15.0337621515029,-15.0337621515029,4.60517018594527,-18.3411336761224,-0.154255322641575,-9.20838348855631,-7.42792431892241,-7.42792431892241,4.605170064878,-21.5814929702738,-2.48029795345084,-23.8081380168007,-10.4028680997085,-10.4028680997085,2.54171047423569,1.85273655468995,-7.87527055387861,-21.2165131016521,1.91653945050257,1.91653945050257,4.60517018596485,-16.7475553900773,-1.41398556873256,-18.0942574271286,-7.12290817177923,-7.12290817177923
"6",4.60517017952424,-44.4268612829755,-124.783222069454,-79.7315371084617,-20.4032769110161,-20.4032769110161,4.6051701859537,-41.2297253315086,-23.3348684034442,-42.4217822214696,-21.9724601169912,-21.9724601169912,4.60517018589921,-28.5321900818314,-4.39403420413642,-23.8150643014781,-7.4557620757879,-7.4557620757879,3.61652865424556,-23.0211551091108,-15.9021036971177,-45.5351501432913,-7.4071017539887,-7.4071017539887,4.60517018578646,-24.4872413216244,-1.36588547569826,-13.3834723179289,-15.1875900023691,-15.1875900023691,4.60517018590923,-9.01759523837485,-2.98414361578601,-44.6537195121711,-5.86223643912378,-5.86223643912378,4.60517018593771,-6.26690351008335,-2.78685155235493,-15.2016165193243,-6.30610659834647,-6.30610659834647,4.60517018578588,-15.6049569904726,-0.967939066629754,-11.5287430603831,-13.9726005536344,-13.9726005536344,4.60517018597471,-7.19531947214517,-3.61294368861761,-24.4722159522945,-7.29311318855879,-7.29311318855879,3.31336094851127,-7.20943837350778,4.60517018597525,4.04194151744352,-6.62850390951546,-6.62850390951546
"7",4.60517016635968,-92.3881285390803,-142.011125401157,-83.2372131021723,-33.8657450070318,-33.8657450070318,2.97594467769648,-47.0681758890686,-15.145852862718,-66.3995912250385,-12.8161598051228,-12.8161598051228,3.04612872806125,-42.0250837538189,-4.63453075784564,-21.5112874074725,-21.4470329051755,-21.4470329051755,3.82762121575702,-22.1302551530308,-9.34942855284554,-34.3620212247957,-15.1248152674566,-15.1248152674566,4.60517018592728,-30.3728911887066,-13.5722157203767,-48.6138785269995,-12.2344984510388,-12.2344984510388,4.60517018593329,-16.1287096813652,-4.76937933427536,-56.0403893691757,-15.2698410830007,-15.2698410830007,4.60517018597236,-36.7855017391846,-1.17297251523641,-27.9189006864452,-12.6354379079727,-12.6354379079727,4.6051701859877,-21.9715186518726,-19.6549491770034,-88.1998435053454,-14.3957255605399,-14.3957255605399,3.43759023472668,-14.3848154380078,1.20927056354449,-6.00594712550546,-5.86711423174626,-5.86711423174626,4.60517018563232,-14.9371639451257,3.69230990979756,-8.43843624489253,-8.99358821918547,-8.99358821918547
"8",4.60517013688307,-77.2932608189988,-85.7681263625341,-82.9798236966893,-32.9246025439477,-32.9246025439477,3.79427271727825,-33.8581249097998,-29.562558399787,-56.6611789043347,-17.0744542742384,-17.0744542742384,4.60517018595905,-25.8069342899926,-10.1702461522336,-92.0472407478181,-13.4794483062405,-13.4794483062405,4.60517018561328,-17.2305144951539,-6.97854020314773,-30.2292662220872,-6.51743749855365,-6.51743749855365,4.60517018597065,-33.0097302232228,-6.5582374873314,-23.6155978014919,-12.924103840395,-12.924103840395,2.47531495125659,-11.7519224253603,1.33841795608157,-17.4008543894559,-5.8284084590628,-5.8284084590628,4.24586407571502,-21.541664336091,4.60517018443275,0.292584156659501,-11.3218725727683,-11.3218725727683,4.60517018569038,-14.1008346200131,1.84788037374943,-8.95162890265325,-12.5131232662161,-12.5131232662161,4.60517018592569,-20.7351279252432,0.144793843670442,-4.83264889427358,-9.39425314272374,-9.39425314272374,4.60517018590247,-14.824600597487,0.451490296111984,-3.67928777534928,-0.19914050115699,-0.19914050115699
"9",4.60516984990814,-60.6736228432345,-86.5999735098351,-79.9344913270187,-14.5324489438156,-14.5324489438156,4.60517018495862,-48.7913828463955,-30.2346848774312,-52.6357282875199,-24.5221310869437,-24.5221310869437,4.60517018572467,-16.384645193724,-13.7175158929356,-41.1968210682554,-9.14188508969395,-9.14188508969395,4.60517018577924,-39.6597155785589,-3.31611530590817,-12.5360212226804,-21.791906127176,-21.791906127176,4.60517018577379,-18.9191647293116,-3.54040708086964,-13.2327005225029,-7.57080232531975,-7.57080232531975,4.60517018585681,-19.2019941951107,-4.31940065925849,-29.3220649967707,-9.4666684015465,-9.4666684015465,4.54772288984155,-18.1484041115796,3.07531190993473,-1.8436556955011,-7.18466660022173,-7.18466660022173,4.60517018476801,-13.8116459602152,-1.76174957361789,-34.449847507299,-7.78293875695584,-7.78293875695584,4.60517018388163,-9.40252671651109,1.33002310244621,-3.9564720640704,-2.01235600907128,-2.01235600907128,0.0170307435006976,-2.1876406231784,-5.45154623827199,-24.9447070737376,-0.142386374159628,-0.142386374159628
"10",3.25324237430344,-70.5089033216139,-70.5171855569426,-66.5228663238787,-42.3902611031024,-42.3902611031024,4.60517018486791,-42.2398584071235,-18.4491836766568,-44.6234130650461,-26.0332276712123,-26.0332276712123,4.60517018558924,-36.7623270835749,-13.957603124832,-48.5322505883924,-19.2628220028047,-19.2628220028047,1.72711487030296,-25.9931632425289,-16.1293781903896,-39.0056444879646,-13.4479832479167,-13.4479832479167,4.60517018597193,-17.9755211009594,-4.12755604762299,-15.506052895627,-10.4977719791573,-10.4977719791573,1.75045237071046,-22.1967315392771,4.39914779812545,-14.7920070225104,-3.19265705754536,-3.19265705754536,4.30226892666371,-12.5119302659962,-3.18836943469108,-14.6510929809899,-2.43970536867256,-2.43970536867256,4.60517018594371,-9.61053773575294,4.12408596738501,1.51776114145352,-2.97038309994244,-2.97038309994244,4.18830268252538,-6.62028187059423,-2.75879810620839,-31.6428599308591,-6.51732709367431,-6.51732709367431,4.45270258804993,-10.0686134915784,1.91611335349651,-8.61981697290798,-9.13088719572752,-9.13088719572752
