"","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm","B01_lin","B01_log","B01_exp","B01_quad","B01_sine","B01_norm"
"1",3.91202300288167,-14.0414020705319,-18.247206657278,-29.9632245270992,-8.76601496089199,-8.76601496089199,4.60517018541806,-25.5222026375623,-8.41679626736083,-62.8202921091555,-16.6665431189401,-16.6665431189401,6.21460809792777,-136.536615111849,-114.618261002312,-282.439598052683,-66.7041198524023,-66.7041198524023,6.90775526459151,-343.513704505454,-381.197298134288,-468.611967659495,-164.552446759658,-164.552446759658
"2",0.778109839631288,-19.3041945240037,-10.0351981750386,-31.3529943870262,-15.087066548771,-15.087066548771,4.60517018592449,-49.0637149851703,-43.4833398285751,-69.0116503101382,-27.2486594958287,-27.2486594958287,5.58668674566744,-187.759247612013,-171.746032899658,-219.998260607499,-105.079208045894,-105.079208045894,5.5504718291599,-291.505660323796,-288.68408256806,-493.297143786889,-153.375723259945,-153.375723259945
"3",3.91202300530958,-9.82947874762786,-8.19261359709044,-25.3443908380858,-6.98116109016452,-6.98116109016452,4.60517018535052,-38.5706840902766,-24.7605696956842,-73.0975603776075,-16.6158873342389,-16.6158873342389,4.51968085416765,-217.682467049728,-135.213504792647,-203.457469450756,-127.173080609614,-127.173080609614,6.27636653504925,-451.307255254336,-307.605183851222,-478.857657409217,-244.974395345366,-244.974395345366
"4",3.91202300531732,-21.4251651904104,-0.391337838851989,-4.23804253905579,-6.18964092872218,-6.18964092872218,4.60517018535438,-50.6621106446869,-18.9226971221392,-30.0215261960576,-20.7165674221439,-20.7165674221439,6.2146080878926,-202.442226232273,-240.758025143471,-269.044178206499,-103.100294072741,-103.100294072741,6.90775525698444,-381.047213215828,-314.829259937913,-480.511629996423,-185.222355802925,-185.222355802925
"5",3.91202300490153,-14.6088860064031,-2.81357729301279,-9.83825237277544,-7.1240625301842,-7.1240625301842,4.60517018589784,-20.1630560105795,-17.3026685593844,-54.6995538306487,-17.4528651430807,-17.4528651430807,3.27551704986865,-188.198982197069,-140.640309240853,-192.567900779595,-101.998202104534,-101.998202104534,6.90775527897858,-387.919491304773,-258.206107565268,-414.476709803403,-210.185642184053,-210.185642184053
"6",3.91202300540439,-31.3177346787629,-13.9999775993574,-35.2225574624931,-14.6490127762555,-14.6490127762555,4.60517018489595,-46.2886421816558,-20.3985039298254,-41.1718184882968,-22.799439484289,-22.799439484289,4.96673596111565,-224.357214480294,-180.223313405183,-261.81207165829,-113.653508019841,-113.653508019841,4.72593596422996,-359.831984903401,-316.049141383799,-478.745971167165,-203.847790109882,-203.847790109882
"7",3.91202300535188,-24.3858744273261,-8.68021069481595,-19.5299669623121,-7.41177115133976,-7.41177115133976,3.12152324150109,-53.4755204100679,-19.5189933027733,-40.5986784604424,-24.9190068124196,-24.9190068124196,6.21460809836583,-169.623346122701,-155.84819692554,-224.84755679975,-112.02424576584,-112.02424576584,4.00134192224976,-369.843782956376,-235.295240512843,-371.333955965484,-186.063292235059,-186.063292235059
"8",2.96613824108389,-5.8951326408636,-11.5616131472034,-37.9312077254374,-1.71937268870014,-1.71937268870014,4.60517018594989,-31.8789654860117,-45.0236321438957,-60.1668955727287,-19.8922940894474,-19.8922940894474,6.21460809636888,-206.769471701808,-169.802326865376,-247.020605076806,-128.189674686301,-128.189674686301,6.90775518864598,-398.027658554123,-321.622949533986,-513.069082559784,-244.137791041543,-244.137791041543
"9",3.91202300525335,-19.631081579575,-12.0527295539799,-43.9518333201924,-14.5172544317633,-14.5172544317633,4.60517018596798,-39.3712181714866,-17.2907565018433,-34.7541855418486,-21.2965659308664,-21.2965659308664,1.44523429291704,-175.190656474973,-252.667456262951,-275.356261808237,-75.9075116408469,-75.9075116408469,6.90775527844067,-416.404110862429,-316.540921163255,-465.893323028525,-195.385267939507,-195.385267939507
"10",3.91202300500052,-25.1678798476762,-21.2367450811552,-26.8086116850036,-11.2958807192448,-11.2958807192448,4.60517018280806,-34.8058184090613,-33.354567136894,-51.9042794383799,-20.834677885414,-20.834677885414,6.21460809813186,-200.519072130569,-127.850004178935,-227.678871710114,-87.4487711901727,-87.4487711901727,6.90775526640016,-360.267520474022,-361.335992049662,-503.248586089682,-201.360625063004,-201.360625063004
