"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4.60517018466105,4.60517018524653,4.60517018596637,1.55332317160882,0.711322903477502,1.11176957578119,4.60517018577607,3.22852892691799,3.23427404823519,2.9328947140752
"2",4.17697384265252,4.60517018590094,4.60517018598214,4.60517017175716,4.60517018195657,3.07269865361852,4.60517018550413,4.60517018380568,3.17516534760743,3.08230659115457
"3",4.60517018579135,4.60517018508767,4.60517018534075,4.60517018591367,4.60517018339631,2.14556101402518,4.6051701850096,2.70576853233896,4.60517018217752,4.60517018535383
"4",4.60517017917361,4.60517018547952,3.73576926856769,4.43403117314987,4.6051701859572,4.605170185959,4.60517018560884,3.1288271776716,4.60517018590868,4.60517018568081
"5",4.60517018563211,4.60517018595264,4.07841164240565,4.60517018594441,4.60517018578909,3.92418619658699,1.98242800034731,4.60517018521613,4.60517018574698,4.60517018568891
"6",4.6051701859065,-0.568055605393184,4.60517018553146,4.60517018542404,4.60517018595948,4.6051701859748,4.09905262206594,3.19955916992997,3.00833741312029,4.60517018588431
"7",4.60517018588757,4.60517018567275,2.31577642185233,4.60517018592581,4.6051701839546,3.92179887498088,4.45793161652968,4.60517018539953,4.60517018554354,4.60517018589083
"8",0.615981760517649,4.60517018394576,4.60517018568052,4.60517018552116,4.60517018561052,4.60517018454727,4.60517018556042,4.60517018592572,4.60517018597321,4.60517018569771
"9",4.6051701854239,4.60517018567765,4.60517018565786,4.60517018539903,4.60517018556413,0.367023128384926,4.39323454393148,4.60517018547582,4.60517018463492,4.60517018588309
"10",4.60517018574316,4.60517018583425,3.91511596817497,3.45465313340277,4.60517018597459,4.60517018286475,4.60517018571728,4.60517018548675,4.60517018576873,4.6051701858806
"11",4.60517018577908,4.6051701856263,2.53523869448787,2.28891056294553,4.60517018521574,3.34848779376344,4.60517018578335,4.60517018590719,4.60517018519458,4.60517018595083
"12",4.60517018587743,4.60517018560721,4.60517018594867,4.60517018576999,1.17205098221513,3.73282063295675,4.60517018584563,4.60517018477149,1.29749090098183,2.92166275615742
"13",4.60517018583105,4.60517018514476,4.60517018483777,4.60517018566415,4.60517018574167,4.6051701854615,3.53771229627559,4.60517018586254,4.60517018549693,4.60517018568322
"14",3.74654798318598,4.60517017886794,4.60517018450738,4.60517017258604,2.87404729916013,4.60517018532477,4.60517018579194,4.60517018598546,1.23536465996585,3.70582564184779
"15",4.04680523418487,4.60517018584186,4.60517018593311,4.60517018345735,4.60517018584618,4.60517018587077,4.60517018466951,4.09180609248603,0.242634215902324,3.89558932506632
"16",1.59841853953884,4.6051701859762,3.68593153173909,4.60517018589973,4.60517018494437,4.60503356674359,4.60517018578413,4.60517018387717,3.52408552697509,2.77659624308282
"17",4.60517018593933,0.749848816917766,4.39438701849078,4.605170185706,2.19165136868793,4.60517018458403,4.60517018558515,4.60517018561224,-0.457411733077226,4.60517018552304
"18",4.60517018541974,4.60517018349241,4.06139700787442,3.72045681853117,4.60517018554577,2.83536457388956,4.60517018591435,4.60517018586007,4.60517018514096,4.60517018586486
"19",4.6051701857143,4.60517018498339,4.60517018442902,3.92088864903078,-1.67257013893748,3.44296082723349,4.60517018541736,4.60517018557467,4.60517018561003,2.92338641528028
"20",4.60517018565752,4.60517018278687,4.60517018564194,1.41323570885658,4.60517018529399,4.60517018579136,4.60517018285276,4.60517018162468,2.7265773562085,4.60517018578286
"21",4.60517018489941,4.60517018593541,4.60517018433874,2.08467429733016,2.78599224441269,4.60517018592559,4.60517018571612,4.60517018553906,4.60517018402028,4.42924702839542
"22",4.34764461593014,4.60517018557109,4.08525338586948,1.45358345027587,4.60517018596664,4.60517018580754,4.60517018254408,4.60517018546341,4.60517018526171,4.52496396544495
"23",4.60517018547354,4.12337041431696,3.37504592988387,3.24948242475548,4.60517018530409,2.88858062686262,4.60517018592588,4.60517018543712,4.34343465282397,4.50982018227541
"24",4.60517018591145,4.60517018570197,4.6051701857839,4.6051701850601,4.60517018596766,4.60517018375439,4.60383868617799,4.60517016037305,4.60517018356135,4.60517018476929
"25",4.60517018556135,4.60517018595146,4.60517018320845,4.34435510545281,4.60517015608557,4.60517018261605,4.60517018324786,2.47119848611744,3.52148280669734,4.60517018597078
"26",3.48225274830163,4.60517018586559,4.60517018136195,4.60517018592664,4.60517018560489,4.60517018557347,4.60517018370051,4.60517018443774,2.58730312590054,4.60517018533143
"27",4.60517018585912,3.5005218105396,4.60517018307088,4.60517018387714,4.60517018535199,3.78509120952294,4.60517015150172,4.47605528928104,4.60517018511895,4.60517018250682
