"","B01, s2=0.01","B02, s2=0.01","B01, s2=0.12","B02, s2=0.12","B01, s2=0.23","B02, s2=0.23","B01, s2=0.34","B02, s2=0.34","B01, s2=0.45","B02, s2=0.45","B01, s2=0.56","B02, s2=0.56","B01, s2=0.67","B02, s2=0.67","B01, s2=0.78","B02, s2=0.78","B01, s2=0.89","B02, s2=0.89","B01, s2=1.00","B02, s2=1.00"
"1",2.2823267035314,5.06259824556548,1.64176027790323,6.24693046309446,2.25397829626059,6.85914848190177,1.99246130809221,6.59763149407025,1.52244068376149,6.12761084598035,0.118796444902415,4.72396663065643,1.57419684471068,6.17936703069572,1.62697585366026,6.23214603942579,2.09527840713974,6.10577358208602,2.15923282406197,6.65602401928075
"2",2.26416517188198,6.77471916915181,1.91321514732613,6.51838531659741,0.37712398077394,4.98229416199036,1.21762792329567,2.44813549441844,0.504914638778814,5.11008482438096,1.99174136527984,6.59691155119079,2.23516008405177,6.84033026907342,-0.499805229274955,4.10536495669253,1.888764517092,6.35178844820553,1.26334905998269,5.47821353828388
"3",1.06772697689252,3.81672094690339,2.07710558349122,6.68227576623175,0.963296522175459,5.56846670804972,2.30105369531538,6.90622388005546,2.28316304204078,6.88833322778986,2.27423377279949,6.87940395871705,0.884013471961467,4.27607375226361,0.832887307050242,5.4380574930041,1.92608737181283,5.25231621358446,2.3017247329698,6.90689491870475
"4",0.935263290806517,5.54043342721178,2.09191569186311,6.69708550956359,-0.144490920645969,4.46067925539369,2.29647336862956,6.90164355420635,0.833207156147253,5.43837734208874,1.66467973437413,4.34530885998331,1.90593666587424,6.41445700867746,1.81075860180533,3.56437275902869,-0.387762648623934,4.2174075327605,1.83170371239905,6.43687389737781
"5",2.06346941974601,6.66863811292524,2.02343634120011,6.53170901527327,2.28772712796146,6.89275348456676,2.11285901201436,6.71802919776447,2.24006289464573,6.84523308050916,2.30136637141524,6.90653655694294,2.29981540592608,6.61753450607711,1.39894524970325,5.69808582420049,2.27427655096372,3.42766416283126,2.12412396547435,5.32910097965959
"6",2.29705765797405,5.00625394540793,2.28461143403861,6.8897816199265,1.68210490899574,6.28727509305691,1.73937101275393,6.34454119788204,2.16143105191425,6.76660123789068,2.19690024336036,3.6897557161934,2.23875126357903,6.84392144936818,2.19801557659555,6.80318576207145,0.877106269304676,5.48227645528857,1.85822162691881,6.46339181290008
"7",2.22235309339391,6.82752321928319,0.665634293626454,5.27080447543452,2.30180568406454,4.89981148237547,2.11341450840624,6.71858469321273,0.944148219684322,4.87925875377616,1.97950652173978,6.58467670750613,2.13771909318994,6.09973029846779,1.27379720201915,5.8789673878166,2.30085384599897,6.9060240319273,2.30216523547762,6.90733542142601
"8",2.30245513959665,6.90762524785089,0.630200195259292,5.06670674315595,2.27223178740421,6.87740197337796,1.93231908054935,6.53748926631533,2.24265160810558,6.84782179396989,-0.70643788187364,2.57582736213688,1.54414907112675,6.14931925616709,2.2370437846659,6.84221397059825,1.79625986747155,5.65552145420276,2.05469514702452,6.65986533290251
"9",1.97787180588313,6.58304185028959,2.22223367901514,6.82740386444929,1.51958265047076,6.12475283608403,1.81880556562498,5.84428828812003,0.798259477214089,5.40342965924067,1.81544260835072,6.42061279431799,2.24451121451192,6.84968140035708,1.30128955271707,5.90645973865207,2.03142216094321,4.8528231532658,1.50826052718241,6.11343071315542
"10",1.69701327065292,5.91691467898164,1.56271488305357,6.16788506872722,1.71585463645694,2.90259912599765,1.93782398022523,6.54299416604978,2.29705018440645,6.90222036924441,2.23931625983994,5.8186181041003,2.29953767986292,4.29762413280035,2.2752472869071,4.13024307678063,2.23066551874069,3.36975650879714,-0.32477461841961,4.28039556749653
