"","x"
"1",114.124618592593
"2",97.3979508148148
"3",75.259341037037
"4",46.6872328888889
"5",10.0052256296296
"6",10.2716671111111
"7",46.3971037777778
"8",74.1771977777778
"9",97.3824182222222
"10",114.593127111111
