"","x"
"1",171.664914074074
"2",79.5565892592593
"3",62.1405485185185
"4",51.5082581481482
"5",41.6859337037037
"6",39.0002574074074
"7",34.4968351851852
"8",31.4939674074074
"9",29.5157603703704
"10",27.017877037037
