"","B01_50","B01_100","B01_500","B01_1000"
"1",1.10815909819115,4.60517018585711,6.21415910736732,5.82424813025466
"2",3.91202300540025,3.61648350856088,6.21460809805293,3.69915278515776
"3",3.91202300452274,4.60517018596298,6.21460809840536,6.90775527866634
"4",3.73262968251525,4.60517018486098,6.21460809610824,6.90775527182421
"5",3.91202300326409,3.55411470689857,6.21460809760039,6.90775522674193
"6",2.1408083310583,4.60517018592068,5.38992073508575,6.90775527665943
"7",2.92927248868803,4.60517018540857,5.79967004278487,6.41184640496033
"8",1.9653486779955,1.82237913871673,4.96260004325867,6.90775527843277
"9",3.91202300542472,4.60517018504595,3.32133415730453,5.44912539272877
"10",3.22272264880704,4.6051701859357,6.21460809792535,6.90775526844101
"11",3.91202300136131,4.6051701855901,4.91515752657972,6.9077552757808
"12",3.91202300490745,3.52207870867073,6.21460809425596,6.90775527864281
"13",3.91202300434086,4.53405990214559,6.21460807650413,6.90775526408567
"14",3.20857168727809,4.60517018590949,6.2146080966173,6.90775527778374
"15",3.9120230052998,2.63201094732233,6.21460809823716,6.90775527557417
"16",3.91202300530326,4.09658307562829,6.21460809443155,6.71483687730415
"17",3.91202300529176,4.45433506133536,2.733274163747,6.90775526072696
"18",3.91202300542352,3.12441040247801,5.80809054884642,6.90775524212057
"19",3.91202300458976,4.60517018585575,-0.129537512295798,6.90775503477755
"20",3.91202300502709,4.60517018594796,6.21460802750221,6.90775526929298
"21",-0.717785397814957,3.23493833580687,6.21460809418247,6.9077552665139
"22",3.41118935071614,4.60517018596172,6.21460809500772,5.94113147550178
"23",1.39682037525283,4.60517018597544,6.21460809130151,4.77320455412837
"24",3.91202300529815,4.60517018491329,6.21460807451406,6.90775527852338
"25",3.3601175287276,2.66207382269308,6.21460809745513,6.4652069849156
"26",3.91202300533698,4.60517018587247,6.21460809494044,6.15951264534328
"27",3.12383408265662,4.60517018571526,6.21460808491099,5.26076952246581
"28",3.68665041542406,4.60517018592311,6.21460807871486,6.90775527858654
